Data Source in SDW: https://sdw.ecb.europa.eu/browse.do?node=9691296
,EXR.A.HUF.EUR.SP00.A,EXR.A.HUF.EUR.SP00.E,EXR.A.RON.EUR.SP00.A,EXR.A.RON.EUR.SP00.E
,"Hungarian forint, Average","Hungarian forint, End-of-period","Romanian leu, Average","Romanian leu, End-of-period"
Collection:,Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E)
Period\Unit:,[Hungarian forint ],[Hungarian forint ],[Romanian leu ],[Romanian leu ]
2020,351.25,363.89,4.8383,4.8683
2019,325.30,330.53,4.7453,4.7830
2018,318.89,320.98,4.6540,4.6635
2017,309.19,310.33,4.5688,4.6585
2016,311.44,309.83,4.4904,4.5390
2015,310.00,315.98,4.4454,4.5240
2014,308.71,315.54,4.4437,4.4828
2013,296.87,297.04,4.4190,4.4710
2012,289.25,292.30,4.4593,4.4445
2011,279.37,314.58,4.2391,4.3233
2010,275.48,277.95,4.2122,4.2620
2009,280.33,270.42,4.2399,4.2363
2008,251.51,266.70,3.6826,4.0225
2007,251.35,253.73,3.3353,3.6077
2006,264.26,251.77,3.5258,3.3835
2005,248.05,252.87,3.6209,3.6802
2004,251.66,245.97,4.0510,3.9390
2003,253.62,262.50,3.7551,4.1158
2002,242.96,236.29,3.1270,3.5135
2001,256.59,245.18,2.6004,2.7817
2000,260.04,265.00,1.9922,2.4142
1999,252.77,254.70,1.6345,1.8345
